transfer_id,year,date,season,transfer_window,player_name,position,age,from_club,from_league,from_country,to_club,to_league,to_country,fee_eur_m,is_free_transfer,is_loan,is_intra_league,is_intra_country
T000023,2010,2010-08-22,2010-2011,summer,Gabriel Eriksson,CB,25,PSV Eindhoven,Eredivisie,NED,Olympique Lyonnais,Ligue_1,FRA,0.0,1,0,0,0
T000024,2010,2010-07-27,2010-2011,summer,Ben Kim,LW,25,Arsenal,Premier_League,ENG,Atletico Madrid,La_Liga,ESP,2.1,0,0,0,0
T000025,2010,2010-08-26,2010-2011,summer,Ryan Suzuki,DM,28,Chelsea,Premier_League,ENG,AS Monaco,Ligue_1,FRA,4.5,0,0,0,0
T000026,2010,2010-08-12,2010-2011,summer,Hee-chan Cisse,DM,21,AS Monaco,Ligue_1,FRA,Atletico Madrid,La_Liga,ESP,3.2,0,0,0,0
T000027,2010,2010-08-05,2010-2011,summer,Adam Pereira,CB,20,Aston Villa,Premier_League,ENG,Lille,Ligue_1,FRA,0.0,1,0,0,0
T000028,2010,2010-01-14,2009-2010,winter,Cherif Weber,DM,21,Lille,Ligue_1,FRA,Real Madrid,La_Liga,ESP,0.0,1,0,0,0
T000029,2010,2010-08-06,2010-2011,summer,Hans Wilson,DM,24,Inter Miami,MLS,USA,Inter Milan,Serie_A,ITA,3.1,0,0,0,0
T000030,2010,2010-08-14,2010-2011,summer,Karl Gonzalez,AM,23,Liverpool,Premier_League,ENG,Bayern Munich,Bundesliga,GER,13.3,0,0,0,0
T000031,2010,2010-07-11,2010-2011,summer,Felix Williams,CB,25,Manchester United,Premier_League,ENG,Atalanta,Serie_A,ITA,27.9,0,0,0,0
T000032,2010,2010-07-19,2010-2011,summer,Min-jae Tanaka,GK,26,Paris Saint-Germain,Ligue_1,FRA,Liverpool,Premier_League,ENG,2.2,0,0,0,0
T000033,2010,2010-07-16,2010-2011,summer,Ingo Wagner,CB,25,Inter Milan,Serie_A,ITA,Valencia,La_Liga,ESP,0.3,0,1,0,0
T000034,2010,2010-08-22,2010-2011,summer,Ebrima Kimura,CM,17,Aston Villa,Premier_League,ENG,Atletico Madrid,La_Liga,ESP,2.9,0,0,0,0
T000035,2010,2010-07-09,2010-2011,summer,Christian Schmidt,RW,25,PSV Eindhoven,Eredivisie,NED,Borussia Dortmund,Bundesliga,GER,1.0,0,1,0,0
T000036,2010,2010-08-25,2010-2011,summer,Yusuf Santos,FW,21,Inter Miami,MLS,USA,Wolfsburg,Bundesliga,GER,4.5,0,0,0,0
T000037,2010,2010-07-02,2010-2011,summer,Harry Fischer,DM,21,Olympique Marseille,Ligue_1,FRA,Real Betis,La_Liga,ESP,0.0,1,0,0,0
T000038,2010,2010-07-03,2010-2011,summer,Michael Gonzalez,FW,22,Bayern Munich,Bundesliga,GER,Real Betis,La_Liga,ESP,7.8,0,1,0,0
T000039,2010,2010-01-18,2009-2010,winter,Gunther Garcia,CB,20,Inter Miami,MLS,USA,LAFC,MLS,USA,0.0,1,0,1,1
T000040,2010,2010-01-05,2009-2010,winter,Xander Müller,LB,32,Eintracht Frankfurt,Bundesliga,GER,Al-Hilal,Saudi_Pro_League,SAU,4.1,0,0,0,0
T000041,2010,2010-07-27,2010-2011,summer,Gunther Sanchez,CB,31,Tottenham,Premier_League,ENG,Benfica,Liga_Portugal,POR,4.8,0,0,0,0
T000042,2010,2010-08-01,2010-2011,summer,Ben Santos,CM,23,Al-Ittihad,Saudi_Pro_League,SAU,Borussia Monchengladbach,Bundesliga,GER,2.5,0,0,0,0
T000043,2010,2010-01-09,2009-2010,winter,Peter Martinez,DM,22,Newcastle United,Premier_League,ENG,Wolfsburg,Bundesliga,GER,3.3,0,0,0,0
T000044,2010,2010-07-15,2010-2011,summer,Takumi Fischer,CB,24,Al-Hilal,Saudi_Pro_League,SAU,Newcastle United,Premier_League,ENG,200.0,0,0,0,0
T000045,2010,2010-08-20,2010-2011,summer,Cherif Oliveira,CB,22,Bayer Leverkusen,Bundesliga,GER,Al-Nassr,Saudi_Pro_League,SAU,178.6,0,0,0,0
T000046,2010,2010-01-19,2009-2010,winter,Francis Taylor,CM,18,Olympique Lyonnais,Ligue_1,FRA,Porto,Liga_Portugal,POR,0.9,0,0,0,0
T000047,2010,2010-02-14,2009-2010,winter,Mats Traore,CB,21,Aston Villa,Premier_League,ENG,Tottenham,Premier_League,ENG,0.0,1,0,1,1
T000048,2010,2010-07-05,2010-2011,summer,David Traore,CM,25,Real Madrid,La_Liga,ESP,Sevilla,La_Liga,ESP,0.2,0,1,1,1
T000049,2010,2010-01-27,2009-2010,winter,Bakary Diop,CB,22,Stade Rennais,Ligue_1,FRA,Feyenoord,Eredivisie,NED,0.0,1,0,0,0
T000050,2010,2010-01-23,2009-2010,winter,Quinn Andersson,LB,28,Tottenham,Premier_League,ENG,West Ham,Premier_League,ENG,1.2,0,1,1,1
T000051,2010,2010-08-03,2010-2011,summer,Mats Choi,GK,28,West Ham,Premier_League,ENG,AS Monaco,Ligue_1,FRA,1.9,0,0,0,0
T000052,2010,2010-08-05,2010-2011,summer,Ian Tanaka,RW,24,Olympique Marseille,Ligue_1,FRA,Sporting CP,Liga_Portugal,POR,2.7,0,0,0,0
T000053,2010,2010-07-06,2010-2011,summer,Christian Hoffmann,DM,32,Galatasaray,Super_Lig,TUR,Feyenoord,Eredivisie,NED,3.8,0,1,0,0
T000054,2010,2010-07-26,2010-2011,summer,Quinn Camavinga,CM,25,Inter Miami,MLS,USA,Real Betis,La_Liga,ESP,7.4,0,0,0,0
T000055,2010,2010-07-09,2010-2011,summer,Andreas Wolf,DM,20,Feyenoord,Eredivisie,NED,Fenerbahce,Super_Lig,TUR,13.0,0,0,0,0
T000056,2010,2010-08-25,2010-2011,summer,Quinn Taylor,RW,28,Napoli,Serie_A,ITA,Valencia,La_Liga,ESP,4.1,0,0,0,0
T000057,2010,2010-07-08,2010-2011,summer,Jorge Bauer,LB,29,Fenerbahce,Super_Lig,TUR,Inter Milan,Serie_A,ITA,1.4,0,0,0,0
T000058,2010,2010-07-01,2010-2011,summer,Pablo Hernandez,CB,32,AS Monaco,Ligue_1,FRA,Paris Saint-Germain,Ligue_1,FRA,10.7,0,0,1,1
T000059,2010,2010-01-06,2009-2010,winter,Eduardo Rivera,DM,26,Borussia Monchengladbach,Bundesliga,GER,Eintracht Frankfurt,Bundesliga,GER,7.2,0,0,1,1
T000060,2010,2010-08-13,2010-2011,summer,Demba Kim,CB,25,Napoli,Serie_A,ITA,Sporting CP,Liga_Portugal,POR,0.0,1,0,0,0
T000061,2010,2010-07-16,2010-2011,summer,Vincent Smith,LW,26,West Ham,Premier_League,ENG,Real Sociedad,La_Liga,ESP,0.8,0,1,0,0
T000062,2010,2010-07-02,2010-2011,summer,Hee-chan Oliveira,CM,24,RB Leipzig,Bundesliga,GER,Galatasaray,Super_Lig,TUR,3.5,0,0,0,0
T000063,2010,2010-02-02,2009-2010,winter,Manuel Jung,AM,24,Tottenham,Premier_League,ENG,Bayer Leverkusen,Bundesliga,GER,16.2,0,0,0,0
T000064,2010,2010-08-22,2010-2011,summer,Cherif Sarr,CB,21,Real Betis,La_Liga,ESP,Bayern Munich,Bundesliga,GER,36.3,0,0,0,0
T000065,2010,2010-07-15,2010-2011,summer,Peter Torres,FW,26,Feyenoord,Eredivisie,NED,Eintracht Frankfurt,Bundesliga,GER,13.1,0,0,0,0
T000066,2010,2010-01-13,2009-2010,winter,Francis Wolf,LB,23,Benfica,Liga_Portugal,POR,Real Betis,La_Liga,ESP,0.3,0,1,0,0
T000067,2010,2010-07-10,2010-2011,summer,Oscar Suzuki,DM,27,Atletico Madrid,La_Liga,ESP,Sevilla,La_Liga,ESP,0.3,0,1,1,1
T000068,2010,2010-07-02,2010-2011,summer,Cherif Pereira,LW,20,Bayer Leverkusen,Bundesliga,GER,Wolfsburg,Bundesliga,GER,4.4,0,0,1,1
T000069,2010,2010-08-07,2010-2011,summer,Stefan Diop,AM,20,Atalanta,Serie_A,ITA,Porto,Liga_Portugal,POR,2.2,0,0,0,0
T000070,2010,2010-07-07,2010-2011,summer,Carlos Torres,LB,26,Everton,Premier_League,ENG,Liverpool,Premier_League,ENG,2.4,0,1,1,1
T000071,2010,2010-08-06,2010-2011,summer,Ben Choi,RB,26,Manchester United,Premier_League,ENG,AC Milan,Serie_A,ITA,0.1,0,1,0,0
T000072,2010,2010-08-13,2010-2011,summer,Stefan Costa,DM,28,Ajax,Eredivisie,NED,LAFC,MLS,USA,2.8,0,0,0,0
T000073,2010,2010-08-16,2010-2011,summer,George Pereira,AM,28,Inter Miami,MLS,USA,PSV Eindhoven,Eredivisie,NED,2.0,0,0,0,0
T000074,2010,2010-07-21,2010-2011,summer,Demba Pereira,CB,21,Sevilla,La_Liga,ESP,RB Leipzig,Bundesliga,GER,0.5,0,1,0,0
T000075,2010,2010-08-27,2010-2011,summer,Ingo Hoffmann,LB,32,Olympique Marseille,Ligue_1,FRA,Napoli,Serie_A,ITA,103.0,0,0,0,0
T000076,2010,2010-07-27,2010-2011,summer,Amadou Schmidt,LB,30,Bayern Munich,Bundesliga,GER,Aston Villa,Premier_League,ENG,0.4,0,1,0,0
T000077,2010,2010-01-06,2009-2010,winter,David Gonzalez,DM,22,Everton,Premier_League,ENG,Wolfsburg,Bundesliga,GER,34.7,0,0,0,0
T000078,2010,2010-08-11,2010-2011,summer,Stefan Eriksson,CM,26,Al-Hilal,Saudi_Pro_League,SAU,Lille,Ligue_1,FRA,5.9,0,0,0,0
T000079,2010,2010-07-15,2010-2011,summer,Tobias Camavinga,AM,23,LAFC,MLS,USA,Olympique Marseille,Ligue_1,FRA,4.5,0,0,0,0
T000080,2010,2010-01-05,2009-2010,winter,Yuki Hernandez,AM,27,Borussia Monchengladbach,Bundesliga,GER,Olympique Marseille,Ligue_1,FRA,10.0,0,0,0,0
T000081,2010,2010-07-23,2010-2011,summer,Hans Traore,GK,26,Lazio,Serie_A,ITA,Tottenham,Premier_League,ENG,12.4,0,0,0,0
T000082,2010,2010-07-04,2010-2011,summer,Vincent Wolf,LB,23,Ajax,Eredivisie,NED,West Ham,Premier_League,ENG,4.7,0,0,0,0
T000083,2010,2010-01-22,2009-2010,winter,Manuel Pereira,CB,24,Olympique Marseille,Ligue_1,FRA,Eintracht Frankfurt,Bundesliga,GER,3.5,0,0,0,0
T000084,2010,2010-01-24,2009-2010,winter,Ebrima Taylor,CB,24,AC Milan,Serie_A,ITA,Borussia Monchengladbach,Bundesliga,GER,0.0,1,0,0,0
T000085,2010,2010-08-18,2010-2011,summer,Luis Choi,CB,27,Olympique Marseille,Ligue_1,FRA,Inter Miami,MLS,USA,1.4,0,0,0,0
T000086,2010,2010-07-26,2010-2011,summer,Liam Traore,RB,25,Atletico Madrid,La_Liga,ESP,Lazio,Serie_A,ITA,0.6,0,1,0,0
T000087,2010,2010-02-03,2009-2010,winter,Noah Kimura,RB,31,Atalanta,Serie_A,ITA,Benfica,Liga_Portugal,POR,7.8,0,0,0,0
T000088,2010,2010-08-17,2010-2011,summer,Thomas Toure,CB,21,Athletic Bilbao,La_Liga,ESP,FC Barcelona,La_Liga,ESP,16.6,0,0,1,1
T000089,2010,2010-01-24,2009-2010,winter,Demba Lee,CM,18,Fenerbahce,Super_Lig,TUR,Lille,Ligue_1,FRA,2.2,0,1,0,0
T000090,2010,2010-07-02,2010-2011,summer,Andreas Williams,FW,24,Inter Milan,Serie_A,ITA,Newcastle United,Premier_League,ENG,5.0,0,1,0,0
T000091,2010,2010-01-11,2009-2010,winter,Amadou Camavinga,CB,26,Ajax,Eredivisie,NED,Borussia Dortmund,Bundesliga,GER,8.6,0,0,0,0
T000092,2010,2010-08-18,2010-2011,summer,Jakob Mendy,AM,22,Olympique Marseille,Ligue_1,FRA,Borussia Monchengladbach,Bundesliga,GER,2.9,0,0,0,0
T000093,2010,2010-01-20,2009-2010,winter,Daniel Kim,CB,24,Porto,Liga_Portugal,POR,Valencia,La_Liga,ESP,4.8,0,0,0,0
T000094,2010,2010-08-18,2010-2011,summer,James Sato,AM,22,Borussia Dortmund,Bundesliga,GER,Liverpool,Premier_League,ENG,11.2,0,0,0,0
T000095,2010,2010-07-07,2010-2011,summer,Andreas Nilsson,LW,18,Olympique Lyonnais,Ligue_1,FRA,Lazio,Serie_A,ITA,1.0,0,0,0,0
T000096,2010,2010-07-01,2010-2011,summer,Gabriel Brown,CB,18,Arsenal,Premier_League,ENG,Bayern Munich,Bundesliga,GER,15.8,0,1,0,0
T000097,2010,2010-08-02,2010-2011,summer,Jakob Sato,RW,24,Borussia Dortmund,Bundesliga,GER,Manchester United,Premier_League,ENG,53.3,0,0,0,0
T000098,2010,2010-07-07,2010-2011,summer,Jorge Park,LB,18,Chelsea,Premier_League,ENG,Borussia Monchengladbach,Bundesliga,GER,1.3,0,0,0,0
T000099,2010,2010-08-03,2010-2011,summer,Karl Müller,LW,25,Real Sociedad,La_Liga,ESP,Real Madrid,La_Liga,ESP,27.7,0,0,1,1
T000100,2010,2010-07-15,2010-2011,summer,Ji-sung Williams,CM,27,Juventus,Serie_A,ITA,Bayern Munich,Bundesliga,GER,0.6,0,1,0,0
T000101,2010,2010-07-21,2010-2011,summer,Bakary Diop,AM,25,Olympique Marseille,Ligue_1,FRA,Sevilla,La_Liga,ESP,0.0,1,0,0,0
T000102,2010,2010-08-14,2010-2011,summer,Amadou Rivera,DM,21,Real Madrid,La_Liga,ESP,Atletico Madrid,La_Liga,ESP,14.7,0,0,1,1
T000103,2010,2010-07-17,2010-2011,summer,Adam Williams,CM,25,Atalanta,Serie_A,ITA,Al-Nassr,Saudi_Pro_League,SAU,20.5,0,0,0,0
T000104,2010,2010-08-07,2010-2011,summer,Hiroshi Suzuki,CM,27,Eintracht Frankfurt,Bundesliga,GER,Athletic Bilbao,La_Liga,ESP,0.0,1,1,0,0
T000105,2010,2010-07-07,2010-2011,summer,Daichi Martinez,LB,23,Real Madrid,La_Liga,ESP,Borussia Dortmund,Bundesliga,GER,0.9,0,0,0,0
T000106,2010,2010-07-14,2010-2011,summer,Hwang Gonzalez,CB,30,Bayer Leverkusen,Bundesliga,GER,Atletico Madrid,La_Liga,ESP,0.9,0,0,0,0
T000107,2010,2010-07-15,2010-2011,summer,Luis Toure,GK,18,Roma,Serie_A,ITA,Porto,Liga_Portugal,POR,9.5,0,0,0,0
T000108,2010,2010-07-07,2010-2011,summer,Gunther Taylor,RB,32,Lille,Ligue_1,FRA,West Ham,Premier_League,ENG,0.0,1,0,0,0
T000109,2010,2010-07-27,2010-2011,summer,Hans Johansson,DM,29,Inter Milan,Serie_A,ITA,Borussia Dortmund,Bundesliga,GER,19.4,0,0,0,0
T000110,2010,2010-07-14,2010-2011,summer,Adam Wolf,RW,26,Tottenham,Premier_League,ENG,Bayern Munich,Bundesliga,GER,77.9,0,0,0,0
T000111,2010,2010-02-21,2009-2010,winter,Stefan Santos,RB,19,Porto,Liga_Portugal,POR,Al-Ittihad,Saudi_Pro_League,SAU,9.2,0,0,0,0
T000112,2010,2010-07-24,2010-2011,summer,Hwang Suzuki,LB,22,Manchester United,Premier_League,ENG,Napoli,Serie_A,ITA,3.6,0,0,0,0
T000113,2010,2010-08-14,2010-2011,summer,Idrissa Eriksson,CB,23,Atalanta,Serie_A,ITA,Stade Rennais,Ligue_1,FRA,0.9,0,0,0,0
T000114,2010,2010-08-16,2010-2011,summer,Famara Tanaka,DM,28,Real Betis,La_Liga,ESP,LAFC,MLS,USA,2.2,0,0,0,0
T000115,2010,2010-02-12,2009-2010,winter,Adam Diop,RW,18,Real Sociedad,La_Liga,ESP,Tottenham,Premier_League,ENG,1.1,0,1,0,0
T000116,2010,2010-07-24,2010-2011,summer,Mats Kim,GK,24,Everton,Premier_League,ENG,Real Sociedad,La_Liga,ESP,12.8,0,0,0,0
T000117,2010,2010-01-26,2009-2010,winter,Yuki Cisse,LW,23,FC Barcelona,La_Liga,ESP,Real Betis,La_Liga,ESP,1.8,0,0,1,1
T000118,2010,2010-07-10,2010-2011,summer,Nicolas Rodriguez,CB,29,Porto,Liga_Portugal,POR,Juventus,Serie_A,ITA,4.3,0,0,0,0
T000119,2010,2010-07-27,2010-2011,summer,Jakob Pogba,CB,20,Manchester City,Premier_League,ENG,Bayer Leverkusen,Bundesliga,GER,1.3,0,0,0,0
T000120,2010,2010-08-20,2010-2011,summer,Daniel Martinez,AM,20,Atalanta,Serie_A,ITA,Paris Saint-Germain,Ligue_1,FRA,4.0,0,0,0,0
T000121,2010,2010-08-01,2010-2011,summer,Eduardo Johansson,CM,24,PSV Eindhoven,Eredivisie,NED,Al-Nassr,Saudi_Pro_League,SAU,0.0,1,1,0,0
T000122,2010,2010-01-09,2009-2010,winter,Luis Kim,CM,24,Napoli,Serie_A,ITA,RB Leipzig,Bundesliga,GER,0.5,0,1,0,0
T000123,2010,2010-07-24,2010-2011,summer,Oscar Garcia,DM,32,Roma,Serie_A,ITA,Stade Rennais,Ligue_1,FRA,0.0,1,0,0,0
T000124,2010,2010-07-27,2010-2011,summer,Idrissa Gonzalez,CB,21,Stade Rennais,Ligue_1,FRA,Benfica,Liga_Portugal,POR,0.8,0,1,0,0
T000125,2010,2010-07-07,2010-2011,summer,Ritsu Kim,RW,33,Liverpool,Premier_League,ENG,Real Betis,La_Liga,ESP,0.0,1,0,0,0
T000126,2010,2010-07-12,2010-2011,summer,Gabriel Martinez,CM,34,Lazio,Serie_A,ITA,Wolfsburg,Bundesliga,GER,0.0,1,0,0,0
T000127,2010,2010-01-06,2009-2010,winter,David Wagner,LW,28,Tottenham,Premier_League,ENG,Eintracht Frankfurt,Bundesliga,GER,0.0,1,1,0,0
T000128,2010,2010-08-08,2010-2011,summer,Yusuf Hernandez,DM,31,Real Madrid,La_Liga,ESP,Bayer Leverkusen,Bundesliga,GER,6.0,0,0,0,0
T000129,2010,2010-07-18,2010-2011,summer,Hans Suzuki,CB,24,Aston Villa,Premier_League,ENG,Al-Hilal,Saudi_Pro_League,SAU,54.8,0,0,0,0
T000130,2010,2010-08-10,2010-2011,summer,Eduardo Sato,RW,25,AS Monaco,Ligue_1,FRA,Ajax,Eredivisie,NED,0.0,1,0,0,0
T000131,2010,2010-07-05,2010-2011,summer,Tobias Hoffmann,RB,24,Bayer Leverkusen,Bundesliga,GER,Ajax,Eredivisie,NED,8.2,0,0,0,0
T000132,2010,2010-01-12,2009-2010,winter,David Mbappe,LW,25,Stade Rennais,Ligue_1,FRA,Real Betis,La_Liga,ESP,0.7,0,0,0,0
T000133,2010,2010-02-20,2009-2010,winter,Amadou Andersson,LB,26,Borussia Dortmund,Bundesliga,GER,Al-Ittihad,Saudi_Pro_League,SAU,12.7,0,1,0,0
T000134,2010,2010-07-18,2010-2011,summer,Noah Andersson,CM,22,Everton,Premier_League,ENG,Borussia Dortmund,Bundesliga,GER,0.0,1,0,0,0
T000135,2010,2010-07-27,2010-2011,summer,Takumi Schneider,CB,33,Wolfsburg,Bundesliga,GER,Napoli,Serie_A,ITA,12.0,0,0,0,0
T000136,2010,2010-07-26,2010-2011,summer,Oscar Silva,FW,24,Stade Rennais,Ligue_1,FRA,Napoli,Serie_A,ITA,0.6,0,0,0,0
T000137,2010,2010-07-18,2010-2011,summer,Gunther Schneider,RB,20,Everton,Premier_League,ENG,Al-Nassr,Saudi_Pro_League,SAU,52.4,0,0,0,0
T000138,2010,2010-07-15,2010-2011,summer,Demba Nilsson,GK,20,Arsenal,Premier_League,ENG,Inter Miami,MLS,USA,1.5,0,1,0,0
T000139,2010,2010-07-21,2010-2011,summer,Noah Eriksson,CB,19,Aston Villa,Premier_League,ENG,Inter Miami,MLS,USA,1.6,0,0,0,0
T000140,2010,2010-07-17,2010-2011,summer,Felix Kimura,LB,27,Bayer Leverkusen,Bundesliga,GER,Bayern Munich,Bundesliga,GER,55.2,0,0,1,1
T000141,2010,2010-01-21,2009-2010,winter,Michael Cisse,CB,26,Galatasaray,Super_Lig,TUR,AS Monaco,Ligue_1,FRA,0.0,1,0,0,0
T000142,2010,2010-07-08,2010-2011,summer,Hans Choi,RB,18,Bayer Leverkusen,Bundesliga,GER,Benfica,Liga_Portugal,POR,3.6,0,0,0,0
T000143,2010,2010-01-24,2009-2010,winter,Quinn Williams,DM,28,Ajax,Eredivisie,NED,Bayer Leverkusen,Bundesliga,GER,0.0,1,0,0,0
T000144,2010,2010-08-09,2010-2011,summer,Idrissa Santos,CM,29,Liverpool,Premier_League,ENG,PSV Eindhoven,Eredivisie,NED,0.0,1,0,0,0
T000145,2010,2010-07-19,2010-2011,summer,Yusuf Sato,CB,26,Sevilla,La_Liga,ESP,Stade Rennais,Ligue_1,FRA,3.9,0,1,0,0
T000146,2010,2010-02-01,2009-2010,winter,Gunther Choi,RB,21,Liverpool,Premier_League,ENG,Porto,Liga_Portugal,POR,14.1,0,0,0,0
T000147,2010,2010-07-19,2010-2011,summer,Adam Bauer,CM,27,Borussia Monchengladbach,Bundesliga,GER,Newcastle United,Premier_League,ENG,10.1,0,0,0,0
T000148,2010,2010-01-25,2009-2010,winter,Francis Wagner,CB,26,Fiorentina,Serie_A,ITA,Borussia Dortmund,Bundesliga,GER,2.8,0,0,0,0
T000149,2010,2010-07-13,2010-2011,summer,Cherif Fischer,FW,26,Sevilla,La_Liga,ESP,Tottenham,Premier_League,ENG,8.0,0,0,0,0
T000150,2010,2010-02-09,2009-2010,winter,Diego Silva,CM,27,Liverpool,Premier_League,ENG,Bayern Munich,Bundesliga,GER,42.4,0,0,0,0
T000151,2010,2010-07-18,2010-2011,summer,Ritsu Yoshida,AM,23,Ajax,Eredivisie,NED,Paris Saint-Germain,Ligue_1,FRA,146.2,0,0,0,0
T000152,2010,2010-08-08,2010-2011,summer,Gabriel Martinez,LW,29,Inter Milan,Serie_A,ITA,PSV Eindhoven,Eredivisie,NED,0.1,0,1,0,0
T000153,2010,2010-08-13,2010-2011,summer,Felix Diallo,CM,25,Al-Nassr,Saudi_Pro_League,SAU,Borussia Monchengladbach,Bundesliga,GER,17.3,0,0,0,0
T000154,2010,2010-08-18,2010-2011,summer,Carlos Diop,GK,26,Fenerbahce,Super_Lig,TUR,Everton,Premier_League,ENG,0.9,0,1,0,0
T000155,2010,2010-07-22,2010-2011,summer,Jorge Lopez,DM,25,Tottenham,Premier_League,ENG,Liverpool,Premier_League,ENG,0.0,1,0,1,1
T000156,2010,2010-08-15,2010-2011,summer,Junya Traore,CB,24,Borussia Dortmund,Bundesliga,GER,Fiorentina,Serie_A,ITA,0.2,0,1,0,0
T000157,2010,2010-01-10,2009-2010,winter,Hee-chan Jung,RW,24,Roma,Serie_A,ITA,Olympique Marseille,Ligue_1,FRA,0.0,1,0,0,0
T000158,2010,2010-01-10,2009-2010,winter,Junya Diallo,LB,32,Ajax,Eredivisie,NED,Aston Villa,Premier_League,ENG,5.9,0,0,0,0
T000159,2010,2010-08-05,2010-2011,summer,Hwang Suzuki,CB,25,Sevilla,La_Liga,ESP,Inter Miami,MLS,USA,0.0,1,0,0,0
T000160,2010,2010-08-03,2010-2011,summer,Takumi Ito,CB,29,Real Betis,La_Liga,ESP,Galatasaray,Super_Lig,TUR,26.4,0,0,0,0
T000161,2010,2010-07-06,2010-2011,summer,Jakob Williams,CM,23,Borussia Monchengladbach,Bundesliga,GER,Stade Rennais,Ligue_1,FRA,2.0,0,1,0,0
T000162,2010,2010-02-24,2009-2010,winter,Hiroshi Choi,CB,26,Valencia,La_Liga,ESP,Atletico Madrid,La_Liga,ESP,2.3,0,0,1,1
T000163,2010,2010-08-23,2010-2011,summer,Leon Hoffmann,LB,25,Ajax,Eredivisie,NED,Lille,Ligue_1,FRA,20.8,0,0,0,0
T000164,2010,2010-07-02,2010-2011,summer,Carlos Johansson,CM,30,Borussia Monchengladbach,Bundesliga,GER,Borussia Dortmund,Bundesliga,GER,5.2,0,0,1,1
